delta1,zeta1,max_excess,stable
-0.0200,-0.1,10.0574,0
-0.0200,-0.05,8.6326,0
-0.0200,0,9.79143,0
-0.0200,0.05,9.81319,0
-0.0200,0.1,9.61214,0
-0.0050,-0.1,0,1
-0.0050,-0.05,0,1
-0.0050,0,0,1
-0.0050,0.05,0,1
-0.0050,0.1,0,1
0.0000,-0.1,0.100765,1
0.0000,-0.05,0.100765,1
0.0000,0,0.100765,1
0.0000,0.05,0.100765,1
0.0000,0.1,0.100765,1
0.0050,-0.1,0,1
0.0050,-0.05,0,1
0.0050,0,0,1
0.0050,0.05,0,1
0.0050,0.1,0,1
0.0200,-0.1,9.61214,0
0.0200,-0.05,9.81319,0
0.0200,0,9.79143,0
0.0200,0.05,8.6326,0
0.0200,0.1,10.0574,0
